,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
140,107,2022-02-04,1,12 am - 1 am,0.984275,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
141,107,2022-02-04,1,12 am - 1 am,1.5915,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
142,107,2022-02-04,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
143,107,2022-02-04,1,12 am - 1 am,31.752,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
144,259,2022-02-04,1,12 am - 1 am,0.064659,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
145,259,2022-02-04,1,12 am - 1 am,0.076095,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
146,259,2022-02-04,1,12 am - 1 am,0.16,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
147,259,2022-02-04,1,12 am - 1 am,0.453085,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
148,259,2022-02-04,1,12 am - 1 am,1.801141,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
149,259,2022-02-04,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
150,259,2022-02-04,1,12 am - 1 am,21.633,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
151,287,2022-02-04,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
152,287,2022-02-04,1,12 am - 1 am,0.167,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
153,287,2022-02-04,1,12 am - 1 am,0.235,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
154,287,2022-02-04,1,12 am - 1 am,0.536109,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
155,287,2022-02-04,1,12 am - 1 am,1.757507,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
156,287,2022-02-04,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
157,287,2022-02-04,1,12 am - 1 am,26.616,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
158,300,2022-02-04,1,12 am - 1 am,0.16436,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
159,300,2022-02-04,1,12 am - 1 am,0.308,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
160,300,2022-02-04,1,12 am - 1 am,0.371,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
161,300,2022-02-04,1,12 am - 1 am,0.591445,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
162,300,2022-02-04,1,12 am - 1 am,1.738468,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
163,300,2022-02-04,1,12 am - 1 am,40.404,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
164,33,2022-02-05,1,12 am - 1 am,0.164,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
165,33,2022-02-05,1,12 am - 1 am,0.185,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
166,33,2022-02-05,1,12 am - 1 am,0.116443,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
167,33,2022-02-05,1,12 am - 1 am,1.84495,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
168,33,2022-02-05,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
169,33,2022-02-05,1,12 am - 1 am,34.451,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
170,39,2022-02-05,1,12 am - 1 am,0.08628,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
171,39,2022-02-05,1,12 am - 1 am,0.123302,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
